25 300
1 2 2
 1 3 3
 1 4 4
 1 5 5
 1 6 6
 1 7 7
 1 8 8
 1 9 9
 1 10 10
 1 11 11
 1 12 12
 1 13 13
 1 14 14
 1 15 15
 1 16 16
 1 17 17
 1 18 18
 1 19 19
 1 20 20
 1 21 21
 1 22 22
 1 23 23
 1 24 24
 1 25 25
 2 3 6
 2 4 8
 2 5 10
 2 6 12
 2 7 14
 2 8 16
 2 9 18
 2 10 20
 2 11 22
 2 12 24
 2 13 26
 2 14 28
 2 15 30
 2 16 32
 2 17 34
 2 18 36
 2 19 38
 2 20 40
 2 21 42
 2 22 44
 2 23 46
 2 24 48
 2 25 50
 3 4 12
 3 5 15
 3 6 18
 3 7 21
 3 8 24
 3 9 27
 3 10 30
 3 11 33
 3 12 36
 3 13 39
 3 14 42
 3 15 45
 3 16 48
 3 17 51
 3 18 54
 3 19 57
 3 20 60
 3 21 63
 3 22 66
 3 23 69
 3 24 72
 3 25 75
 4 5 20
 4 6 24
 4 7 28
 4 8 32
 4 9 36
 4 10 40
 4 11 44
 4 12 48
 4 13 52
 4 14 56
 4 15 60
 4 16 64
 4 17 68
 4 18 72
 4 19 76
 4 20 80
 4 21 84
 4 22 88
 4 23 92
 4 24 96
 4 25 0
 5 6 30
 5 7 35
 5 8 40
 5 9 45
 5 10 50
 5 11 55
 5 12 60
 5 13 65
 5 14 70
 5 15 75
 5 16 80
 5 17 85
 5 18 90
 5 19 95
 5 20 0
 5 21 5
 5 22 10
 5 23 15
 5 24 20
 5 25 25
 6 7 42
 6 8 48
 6 9 54
 6 10 60
 6 11 66
 6 12 72
 6 13 78
 6 14 84
 6 15 90
 6 16 96
 6 17 2
 6 18 8
 6 19 14
 6 20 20
 6 21 26
 6 22 32
 6 23 38
 6 24 44
 6 25 50
 7 8 56
 7 9 63
 7 10 70
 7 11 77
 7 12 84
 7 13 91
 7 14 98
 7 15 5
 7 16 12
 7 17 19
 7 18 26
 7 19 33
 7 20 40
 7 21 47
 7 22 54
 7 23 61
 7 24 68
 7 25 75
 8 9 72
 8 10 80
 8 11 88
 8 12 96
 8 13 4
 8 14 12
 8 15 20
 8 16 28
 8 17 36
 8 18 44
 8 19 52
 8 20 60
 8 21 68
 8 22 76
 8 23 84
 8 24 92
 8 25 0
 9 10 90
 9 11 99
 9 12 8
 9 13 17
 9 14 26
 9 15 35
 9 16 44
 9 17 53
 9 18 62
 9 19 71
 9 20 80
 9 21 89
 9 22 98
 9 23 7
 9 24 16
 9 25 25
 10 11 10
 10 12 20
 10 13 30
 10 14 40
 10 15 50
 10 16 60
 10 17 70
 10 18 80
 10 19 90
 10 20 0
 10 21 10
 10 22 20
 10 23 30
 10 24 40
 10 25 50
 11 12 32
 11 13 43
 11 14 54
 11 15 65
 11 16 76
 11 17 87
 11 18 98
 11 19 9
 11 20 20
 11 21 31
 11 22 42
 11 23 53
 11 24 64
 11 25 75
 12 13 56
 12 14 68
 12 15 80
 12 16 92
 12 17 4
 12 18 16
 12 19 28
 12 20 40
 12 21 52
 12 22 64
 12 23 76
 12 24 88
 12 25 0
 13 14 82
 13 15 95
 13 16 8
 13 17 21
 13 18 34
 13 19 47
 13 20 60
 13 21 73
 13 22 86
 13 23 99
 13 24 12
 13 25 25
 14 15 10
 14 16 24
 14 17 38
 14 18 52
 14 19 66
 14 20 80
 14 21 94
 14 22 8
 14 23 22
 14 24 36
 14 25 50
 15 16 40
 15 17 55
 15 18 70
 15 19 85
 15 20 0
 15 21 15
 15 22 30
 15 23 45
 15 24 60
 15 25 75
 16 17 72
 16 18 88
 16 19 4
 16 20 20
 16 21 36
 16 22 52
 16 23 68
 16 24 84
 16 25 0
 17 18 6
 17 19 23
 17 20 40
 17 21 57
 17 22 74
 17 23 91
 17 24 8
 17 25 25
 18 19 42
 18 20 60
 18 21 78
 18 22 96
 18 23 14
 18 24 32
 18 25 50
 19 20 80
 19 21 99
 19 22 18
 19 23 37
 19 24 56
 19 25 75
 20 21 20
 20 22 40
 20 23 60
 20 24 80
 20 25 0
 21 22 62
 21 23 83
 21 24 4
 21 25 25
 22 23 6
 22 24 28
 22 25 50
 23 24 52
 23 25 75
 24 25 0
 
